pid,grp,duration
367,Sent like,-99
368,Pre-like status,113
368,Sent like,-99
369,Pre-like status,113
369,Sent like,-99
370,Pre-like status,114
370,Sent like,-99
371,Pre-like status,114
371,Sent like,-99
372,Pre-like status,114
372,Sent like,-99
373,Pre-like status,114
373,Sent like,-99
374,Pre-like status,114
374,Sent like,-99
375,Pre-like status,114
375,Sent like,9
375,Match,-99
376,Pre-like status,114
376,Sent like,-99
377,Pre-like status,115
377,Sent like,-99
378,Pre-like status,115
378,Sent like,-99
379,Pre-liked me status,116
379,Liked me,-99
380,Pre-like status,117
380,Sent like,-99
381,Pre-like status,117
381,Sent like,-99
382,Pre-like status,117
382,Sent like,-99
383,Pre-like status,117
383,Sent like,1
383,Match,-99
384,Pre-liked me status,117
384,Liked me,-99
385,Pre-liked me status,118
385,Liked me,-99
386,Pre-like status,119
386,Sent like,-99
387,Pre-liked me status,120
387,Liked me,-99
388,Pre-like status,134
388,Sent like,-99
389,Pre-like status,135
389,Sent like,-99
390,Pre-like status,135
390,Sent like,-99
391,Pre-liked me status,135
391,Liked me,-99
392,Pre-liked me status,135
392,Liked me,-99
393,Pre-liked me status,135
393,Liked me,-99
394,Pre-liked me status,135
394,Liked me,-99
395,Pre-liked me status,135
395,Liked me,-99
396,Pre-liked me status,135
396,Liked me,-99
397,Pre-liked me status,135
397,Liked me,-99
398,Pre-liked me status,135
398,Liked me,-99
399,Pre-liked me status,135
399,Liked me,-99
400,Pre-liked me status,135
400,Liked me,-99
401,Pre-liked me status,135
401,Liked me,-99
402,Pre-liked me status,135
402,Liked me,-99
403,Pre-liked me status,135
403,Liked me,-99
404,Pre-liked me status,135
404,Liked me,-99
405,Pre-liked me status,135
405,Liked me,-99
406,Pre-liked me status,135
406,Liked me,-99
407,Pre-liked me status,135
407,Liked me,-99
408,Pre-liked me status,135
408,Liked me,-99
409,Pre-liked me status,135
409,Liked me,-99
410,Pre-liked me status,136
410,Liked me,-99
411,Pre-liked me status,136
411,Liked me,-99
412,Pre-liked me status,137
412,Liked me,-99
413,Pre-like status,137
413,Sent like,-99
414,Pre-liked me status,137
414,Liked me,-99
415,Pre-liked me status,137
415,Liked me,-99
416,Pre-like status,137
416,Sent like,1
416,Match,1
416,Conversation in app,-99
417,Pre-like status,138
417,Sent like,-99
418,Pre-like status,139
418,Sent like,-99
419,Pre-liked me status,139
419,Liked me,-99
420,Pre-liked me status,155
420,Liked me,-99
421,Pre-liked me status,155
421,Liked me,-99
422,Pre-liked me status,155
422,Liked me,-99
423,Pre-liked me status,155
423,Liked me,-99
424,Pre-liked me status,167
424,Liked me,2
424,Match,1
424,Conversation in app,-99
425,Pre-liked me status,168
425,Liked me,1
425,Match,0
425,Conversation in app,-99
426,Pre-liked me status,168
426,Liked me,-99
427,Pre-liked me status,168
427,Liked me,-99
428,Pre-liked me status,168
428,Liked me,-99
429,Pre-liked me status,168
429,Liked me,-99
430,Pre-liked me status,168
430,Liked me,-99
431,Pre-liked me status,169
431,Liked me,-99
432,Pre-liked me status,169
432,Liked me,-99
433,Pre-like status,169
433,Sent like,-99
434,Pre-liked me status,169
434,Liked me,1
434,Match,1
434,Conversation in app,-99
435,Pre-like status,169
435,Sent like,-99
436,Pre-like status,169
436,Sent like,-99
437,Pre-like status,169
437,Sent like,5
437,Match,0
437,Conversation in app,-99
438,Pre-like status,169
438,Sent like,-99
439,Pre-like status,169
439,Sent like,-99
440,Pre-liked me status,169
440,Liked me,-99
441,Pre-like status,169
441,Sent like,-99
442,Pre-like status,169
442,Sent like,-99
443,Pre-like status,170
443,Sent like,1
443,Match,0
443,Conversation in app,-99
444,Pre-like status,170
444,Sent like,-99
445,Pre-like status,170
445,Sent like,1
445,Match,-99
446,Pre-like status,170
446,Sent like,-99
447,Pre-like status,170
447,Sent like,-99
448,Pre-like status,170
448,Sent like,-99
449,Pre-like status,170
449,Sent like,-99
450,Pre-like status,170
450,Sent like,-99
451,Pre-like status,170
451,Sent like,-99
452,Pre-like status,170
452,Sent like,-99
453,Pre-like status,170
453,Sent like,-99
454,Pre-like status,170
454,Sent like,-99
455,Pre-like status,170
455,Sent like,1
455,Match,1
455,Conversation in app,-99
456,Pre-like status,170
456,Sent like,-99
457,Pre-like status,170
457,Sent like,-99
458,Pre-like status,170
458,Sent like,-99
459,Pre-like status,170
459,Sent like,-99
460,Pre-like status,170
460,Sent like,-99
461,Pre-like status,170
461,Sent like,-99
462,Pre-like status,170
462,Sent like,-99
463,Pre-like status,171
463,Sent like,-99
464,Pre-like status,171
464,Sent like,6
464,Match,1
464,Conversation in app,-99
465,Pre-like status,171
465,Sent like,-99
466,Pre-like status,171
466,Sent like,-99
467,Pre-like status,171
467,Sent like,-99
468,Pre-like status,171
468,Sent like,-99
469,Pre-like status,171
469,Sent like,-99
470,Pre-like status,171
470,Sent like,-99
471,Pre-like status,171
471,Sent like,-99
472,Pre-like status,171
472,Sent like,-99
473,Pre-like status,171
473,Sent like,-99
474,Pre-like status,171
474,Sent like,-99
475,Pre-like status,171
475,Sent like,-99
476,Pre-like status,171
476,Sent like,-99
477,Pre-like status,171
477,Sent like,-99
478,Pre-like status,171
478,Sent like,1
478,Match,1
478,Conversation in app,-99
479,Pre-like status,172
479,Sent like,-99
480,Pre-like status,172
480,Sent like,-99
481,Pre-like status,172
481,Sent like,-99
482,Pre-like status,172
482,Sent like,-99
483,Pre-like status,172
483,Sent like,-99
484,Pre-like status,172
484,Sent like,-99
485,Pre-liked me status,172
485,Liked me,-99
486,Pre-like status,172
486,Sent like,-99
487,Pre-like status,172
487,Sent like,25
487,Match,1
487,Conversation in app,6
487,First date,-99
488,Pre-like status,172
488,Sent like,-99
489,Pre-like status,172
489,Sent like,-99
490,Pre-like status,173
490,Sent like,-99
491,Pre-like status,173
491,Sent like,-99
492,Pre-like status,173
492,Sent like,-99
493,Pre-like status,173
493,Sent like,-99
494,Pre-like status,173
494,Sent like,-99
495,Pre-like status,173
495,Sent like,-99
496,Pre-liked me status,173
496,Liked me,-99
497,Pre-liked me status,173
497,Liked me,-99
498,Pre-liked me status,173
498,Liked me,-99
499,Pre-like status,173
499,Sent like,-99
500,Pre-like status,173
500,Sent like,-99
501,Pre-like status,173
501,Sent like,3
501,Match,1
501,Conversation in app,-99
502,Pre-like status,173
502,Sent like,-99
503,Pre-like status,173
503,Sent like,-99
504,Pre-like status,173
504,Sent like,-99
505,Pre-liked me status,173
505,Liked me,-99
506,Pre-liked me status,173
506,Liked me,-99
507,Pre-like status,173
507,Sent like,-99
508,Pre-liked me status,173
508,Liked me,-99
509,Pre-like status,174
509,Sent like,-99
510,Pre-like status,174
510,Sent like,-99
511,Pre-like status,174
511,Sent like,-99
512,Pre-like status,174
512,Sent like,-99
513,Pre-like status,174
513,Sent like,-99
514,Pre-like status,174
514,Sent like,-99
515,Pre-like status,174
515,Sent like,-99
516,Pre-like status,174
516,Sent like,-99
517,Pre-like status,174
517,Sent like,-99
518,Pre-like status,174
518,Sent like,1
518,Match,0
518,Conversation in app,-99
519,Pre-like status,174
519,Sent like,-99
520,Pre-like status,174
520,Sent like,-99
521,Pre-like status,174
521,Sent like,-99
522,Pre-like status,174
522,Sent like,-99
523,Pre-like status,174
523,Sent like,-99
524,Pre-like status,174
524,Sent like,-99
525,Pre-like status,174
525,Sent like,-99
526,Pre-like status,174
526,Sent like,-99
527,Pre-like status,174
527,Sent like,-99
528,Pre-like status,175
528,Sent like,-99
529,Pre-like status,175
529,Sent like,-99
530,Pre-like status,175
530,Sent like,-99
531,Pre-like status,176
531,Sent like,-99
532,Pre-like status,176
532,Sent like,-99
533,Pre-like status,176
533,Sent like,-99
