loss,likelihood,loss_event,color
122882.8829,0.30096,Ransomware,'#8dd3c7'
123243.2432,0.29931,Ransomware,'#8dd3c7'
123603.6036,0.29766,Ransomware,'#8dd3c7'
123963.9639,0.29535,Ransomware,'#8dd3c7'
124324.3243,0.29359,Ransomware,'#8dd3c7'
124684.6847,0.29128,Ransomware,'#8dd3c7'
125045.045,0.28941,Ransomware,'#8dd3c7'
125405.4054,0.28765,Ransomware,'#8dd3c7'
125765.7657,0.28589,Ransomware,'#8dd3c7'
126126.1261,0.28424,Ransomware,'#8dd3c7'
126486.4865,0.28237,Ransomware,'#8dd3c7'
126846.8468,0.28116,Ransomware,'#8dd3c7'
127207.2072,0.27918,Ransomware,'#8dd3c7'
127567.5675,0.2772,Ransomware,'#8dd3c7'
127927.9279,0.27445,Ransomware,'#8dd3c7'
128288.2883,0.27258,Ransomware,'#8dd3c7'
128648.6486,0.27071,Ransomware,'#8dd3c7'
129009.009,0.26862,Ransomware,'#8dd3c7'
129369.3693,0.26752,Ransomware,'#8dd3c7'
129729.7297,0.26554,Ransomware,'#8dd3c7'
130090.0901,0.26422,Ransomware,'#8dd3c7'
130450.4504,0.26246,Ransomware,'#8dd3c7'
130810.8108,0.26026,Ransomware,'#8dd3c7'
131171.1711,0.2585,Ransomware,'#8dd3c7'
131531.5315,0.25663,Ransomware,'#8dd3c7'
131891.8919,0.25498,Ransomware,'#8dd3c7'
132252.2522,0.25234,Ransomware,'#8dd3c7'
132612.6126,0.25058,Ransomware,'#8dd3c7'
132972.9729,0.24915,Ransomware,'#8dd3c7'
133333.3333,0.24805,Ransomware,'#8dd3c7'
133693.6937,0.24684,Ransomware,'#8dd3c7'
134054.054,0.24475,Ransomware,'#8dd3c7'
134414.4144,0.24343,Ransomware,'#8dd3c7'
134774.7747,0.24222,Ransomware,'#8dd3c7'
135135.1352,0.24057,Ransomware,'#8dd3c7'
135495.4955,0.23826,Ransomware,'#8dd3c7'
135855.8559,0.23661,Ransomware,'#8dd3c7'
136216.2163,0.23496,Ransomware,'#8dd3c7'
136576.5766,0.23342,Ransomware,'#8dd3c7'
